Against,Beneficiary,Date,Player,Pos,Ref Crew,Week,Quarter,Time,Down,Distance,Yardage,Declined,offsetting,Home,Phase,Chose3rdAnd,Not2ndAnd
LA Rams,Houston,09/07/25,K.Williams,RB,Craig Wrolstad,1,3,7:47:00,2,4,0,Yes,No,Yes,Offense,11,14
Chicago,Minnesota,09/08/25,K.Monangai,RB,Alan Eck,1,2,6:47:00,2,10,0,Yes,No,Yes,Offense,10,20
Chicago,Detroit,09/14/25,J.Jackson,OL,Land Clark,2,1,6:20:00,2,9,0,Yes,No,No,Offense,8,18
Miami,New England,09/14/25,A.Brewer,OL,Alex Moore,2,3,14:10:00,2,13,0,Yes,No,Yes,Offense,13,23
Tennessee,LA Rams,09/14/25,D.Moore,OL,John Hussey,2,3,4:48:00,2,7,0,Yes,No,Yes,Offense,13,17
Indianapolis,Denver,09/14/25,B.Raimann,OL,Craig Wrolstad,2,3,6:49:00,2,11,0,Yes,No,Yes,Offense,21,21
Philadelphia,LA Rams,09/21/25,C.Jurgens,OL,Brad Rogers,3,3,12:40:00,2,3,0,Yes,No,Yes,Offense,6,13
Tennessee,Indianapolis,09/21/25,B.Hance,OL,Scott Novak,3,1,12:53:00,2,11,0,Yes,No,Yes,Offense,11,21
Dallas,Green Bay,09/28/25,T.Smith,OL,Ron Torbert,4,2,9:59:00,2,7,0,Yes,No,Yes,Offense,7,17
Las Vegas,Indianapolis,10/05/25,D.Glaze,OL,Alex Kemp,5,3,13:40:00,2,8,0,Yes,No,No,Offense,8,18
N.Y. Giants,New Orleans,10/05/25,J.Eluemunor,OL,Alan Eck,5,4,11:03:00,2,18,0,Yes,No,No,Offense,18,28
Philadelphia,Minnesota,10/19/25,S.Barkley,RB,Bill Vinovich,7,2,5:34:00,2,13,0,Yes,No,No,Offense,20,23
Tampa Bay,Detroit,10/20/25,G.Barton,OL,John Hussey,7,4,8:49:00,2,10,0,Yes,No,No,Offense,10,20